tableId,id,name,type
tblNasarawaSites,fldNSWPrimary,Site_ID,singleLineText
tblNasarawaSites,fldNSWSiteName,Site_Name,singleLineText
tblNasarawaSites,fldNSWLGA,LGA,singleLineText
tblNasarawaSites,fldNSWWard,Ward,singleLineText
tblNasarawaSites,fldNSWPhase,Phase,singleSelect
tblNasarawaSites,fldNSWLat,Coordinates_Lat,number
tblNasarawaSites,fldNSWLon,Coordinates_Lon,number
tblNasarawaSites,fldNSWAcqStatus,Acquisition_Status,singleSelect
tblNasarawaSites,fldNSWCommStatus,Community_Engagement_Status,singleSelect
tblNasarawaSites,fldNSWEnvApproval,Environmental_Approval,singleSelect
tblNasarawaSites,fldNSWSurveyDate,Vendor_Survey_Date,date
tblNasarawaSites,fldNSWTargetLive,Target_Live_Date,date
tblNasarawaSites,fldNSWCommLead,Community_Lead_Contact,singleLineText
tblNasarawaSites,fldNSWOwner,Owner_Acquisition_Engineer,singleLineText
tblNasarawaSites,fldNSWLastUpdated,Last_Updated,dateTime
tblNasarawaSites,fldNSWRiskFlag,Risk_Flag,singleSelect
tblNasarawaSites,fldNSWNotes,Notes,multilineText
tblVendorManifest,fldVNDPrimary,Line_ID,singleLineText
tblVendorManifest,fldVNDPONum,PO_Number,singleLineText
tblVendorManifest,fldVNDProjectLabel,Project_Label,singleLineText
tblVendorManifest,fldVNDDesc,Item_Description,singleLineText
tblVendorManifest,fldVNDCategory,Item_Category,singleSelect
tblVendorManifest,fldVNDQty,Quantity,number
tblVendorManifest,fldVNDUnitUSD,Unit_Price_USD,number
tblVendorManifest,fldVNDLineUSD,Line_Total_USD,number
tblVendorManifest,fldVNDLineNGN,Line_Total_NGN,number
tblVendorManifest,fldVNDVendor,Vendor,singleLineText
tblVendorManifest,fldVNDCountry,Country_Of_Origin,singleLineText
tblVendorManifest,fldVNDLogStatus,Logistics_Status,singleSelect
tblVendorManifest,fldVNDLogUpdated,Logistics_Status_Updated,dateTime
tblVendorManifest,fldVNDCarrier,Carrier,singleLineText
tblVendorManifest,fldVNDTracking,Tracking_Number,singleLineText
tblVendorManifest,fldVNDExpDelivery,Expected_Delivery,date
tblVendorManifest,fldVNDActualReceipt,Actual_Receipt_Date,date
tblVendorManifest,fldVNDNotes,Notes,multilineText
tblMentees,fldMNTPrimary,Name,singleLineText
tblMentees,fldMNTEmail,Email,email
tblMentees,fldMNTRole,Role,singleLineText
tblMentees,fldMNTCadence,Session_Cadence,singleLineText
tblMentees,fldMNTLastSesh,Last_Session,date
tblMentees,fldMNTNextSesh,Next_Session,date
tblMentees,fldMNTNotes,Notes,multilineText
tblContacts,fldCNTPrimary,Name,singleLineText
tblContacts,fldCNTEmail,Email,email
tblContacts,fldCNTOrg,Company,singleLineText
tblContacts,fldCNTRole,Role,singleLineText
