id,createdTime,Hotspot_ID,Area,LGA,State,Cell_Count_3G,Cell_Count_4G,Population_Density,First_Identified
recHsp0000000001,2026-02-14T10:00:00.000Z,HSP-01,Minna university belt,Bosso,Niger,4,3,12000,Q1 2026
recHsp0000000002,2026-02-14T10:00:00.000Z,HSP-02,Lapai,Lapai,Niger,3,2,5500,Q1 2026
recHsp0000000003,2026-02-14T10:00:00.000Z,HSP-03,Mokwa,Mokwa,Niger,2,2,4200,Q1 2026
recHsp0000000004,2026-02-14T10:00:00.000Z,HSP-04,Minna CBD,Chanchaga,Niger,5,4,18000,Q1 2026
recHsp0000000005,2026-02-14T10:00:00.000Z,HSP-05,Bida industrial,Bida,Niger,4,3,9500,Q1 2026
recHsp0000000006,2026-02-14T10:00:00.000Z,HSP-06,Suleja market,Suleja,Niger,3,3,14000,Q1 2026
recHsp0000000007,2026-02-14T10:00:00.000Z,HSP-07,Kontagora,Kontagora,Niger,2,2,4800,Q1 2026
recHsp0000000008,2026-02-14T10:00:00.000Z,HSP-08,Bida north,Bida,Niger,3,3,7200,Q1 2026
recHsp0000000009,2026-02-14T10:00:00.000Z,HSP-09,Suleja east,Suleja,Niger,2,2,6100,Q1 2026
recHsp0000000010,2026-02-14T10:00:00.000Z,HSP-10,Bida south,Bida,Niger,3,2,5400,Q1 2026
recHsp0000000011,2026-02-14T10:00:00.000Z,HSP-11,Tegina,Rafi,Niger,2,2,3900,Q1 2026
recHsp0000000012,2026-02-14T10:00:00.000Z,HSP-12,New Bussa,Borgu,Niger,2,2,4500,Q1 2026
