id,createdTime,Hotspot_ID,P95_Latency_ms,P99_Latency_ms,Peak_Throughput_Mbps,Packet_Loss_pct,Measurement_Date,Recorded_By
recMeas000000q201,2026-09-22T10:00:00.000Z,HSP-01,95,142,52,0.8,2026-09-22,yetunde.bakare.engineer@gmail.com
recMeas000000q202,2026-09-22T10:30:00.000Z,HSP-02,110,168,38,1.4,2026-09-22,yetunde.bakare.engineer@gmail.com
recMeas000000q203,2026-09-23T10:00:00.000Z,HSP-03,105,159,41,1.1,2026-09-23,yetunde.bakare.engineer@gmail.com
recMeas000000q204,2026-09-23T11:00:00.000Z,HSP-04,128,195,44,1.9,2026-09-23,yetunde.bakare.engineer@gmail.com
recMeas000000q205,2026-09-24T10:00:00.000Z,HSP-05,159,234,33,2.6,2026-09-24,yetunde.bakare.engineer@gmail.com
recMeas000000q206,2026-09-24T11:00:00.000Z,HSP-06,122,187,49,1.7,2026-09-24,yetunde.bakare.engineer@gmail.com
recMeas000000q207,2026-09-24T14:00:00.000Z,HSP-07,87,134,56,0.7,2026-09-24,yetunde.bakare.engineer@gmail.com
recMeas000000q208,2026-09-25T10:00:00.000Z,HSP-08,118,178,47,1.5,2026-09-25,yetunde.bakare.engineer@gmail.com
recMeas000000q209,2026-09-25T11:00:00.000Z,HSP-09,102,156,50,1.0,2026-09-25,yetunde.bakare.engineer@gmail.com
recMeas000000q210,2026-09-25T14:00:00.000Z,HSP-10,145,215,36,2.2,2026-09-25,yetunde.bakare.engineer@gmail.com
recMeas000000q211,2026-09-25T15:00:00.000Z,HSP-11,91,138,53,0.9,2026-09-25,yetunde.bakare.engineer@gmail.com
recMeas000000q212,2026-09-25T16:00:00.000Z,HSP-12,99,149,51,1.0,2026-09-25,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_01,2026-09-25T10:00:00.000Z,HSP-01,95,142,52,0.8,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_02,2026-09-25T10:00:00.000Z,HSP-02,110,168,38,1.4,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_03,2026-09-25T10:00:00.000Z,HSP-03,105,159,41,1.1,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_04,2026-09-25T10:00:00.000Z,HSP-04,128,195,44,1.9,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_05,2026-09-25T10:00:00.000Z,HSP-05,159,234,33,2.6,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_06,2026-09-25T10:00:00.000Z,HSP-06,122,187,49,1.7,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_07,2026-09-25T10:00:00.000Z,HSP-07,87,134,56,0.7,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_08,2026-09-25T10:00:00.000Z,HSP-08,118,178,47,1.5,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_09,2026-09-25T10:00:00.000Z,HSP-09,102,156,50,1.0,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_10,2026-09-25T10:00:00.000Z,HSP-10,145,215,36,2.2,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_11,2026-09-25T10:00:00.000Z,HSP-11,91,138,53,0.9,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_0_12,2026-09-25T10:00:00.000Z,HSP-12,99,149,51,1.0,2026-09-22,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_01,2026-09-26T10:00:00.000Z,HSP-01,95,142,52,0.8,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_02,2026-09-26T10:00:00.000Z,HSP-02,110,168,38,1.4,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_03,2026-09-26T10:00:00.000Z,HSP-03,105,159,41,1.1,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_04,2026-09-26T10:00:00.000Z,HSP-04,128,195,44,1.9,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_05,2026-09-26T10:00:00.000Z,HSP-05,159,234,33,2.6,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_06,2026-09-26T10:00:00.000Z,HSP-06,122,187,49,1.7,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_07,2026-09-26T10:00:00.000Z,HSP-07,87,134,56,0.7,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_08,2026-09-26T10:00:00.000Z,HSP-08,118,178,47,1.5,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_09,2026-09-26T10:00:00.000Z,HSP-09,102,156,50,1.0,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_10,2026-09-26T10:00:00.000Z,HSP-10,145,215,36,2.2,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_11,2026-09-26T10:00:00.000Z,HSP-11,91,138,53,0.9,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_1_12,2026-09-26T10:00:00.000Z,HSP-12,99,149,51,1.0,2026-09-23,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_01,2026-09-27T10:00:00.000Z,HSP-01,95,142,52,0.8,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_02,2026-09-27T10:00:00.000Z,HSP-02,110,168,38,1.4,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_03,2026-09-27T10:00:00.000Z,HSP-03,105,159,41,1.1,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_04,2026-09-27T10:00:00.000Z,HSP-04,128,195,44,1.9,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_05,2026-09-27T10:00:00.000Z,HSP-05,159,234,33,2.6,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_06,2026-09-27T10:00:00.000Z,HSP-06,122,187,49,1.7,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_07,2026-09-27T10:00:00.000Z,HSP-07,87,134,56,0.7,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_08,2026-09-27T10:00:00.000Z,HSP-08,118,178,47,1.5,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_09,2026-09-27T10:00:00.000Z,HSP-09,102,156,50,1.0,2026-09-24,yetunde.bakare.engineer@gmail.com
rec_q2_extra_2_10,2026-09-27T10:00:00.000Z,HSP-10,145,215,36,2.2,2026-09-24,yetunde.bakare.engineer@gmail.com
