id,createdTime,Line_ID,PO_Number,Project_Label,Item_Description,Item_Category,Quantity,Unit_Price_USD,Line_Total_USD,Line_Total_NGN,Vendor,Country_Of_Origin,Logistics_Status,Logistics_Status_Updated,Carrier,Tracking_Number,Expected_Delivery,Actual_Receipt_Date,Notes
recVND0001,2026-09-01T10:00:00+01:00,VND-2026-Q4-0001,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Edge baseband processor BBU,Baseband,4,1350,5400,8100000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8001,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0002,2026-09-01T10:00:00+01:00,VND-2026-Q4-0002,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,RF feeder cable assembly,Cable,5,70,350,525000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8002,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0003,2026-09-01T10:00:00+01:00,VND-2026-Q4-0003,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Antenna mounting bracket,Mounting,4,45,180,270000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8003,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0004,2026-09-01T10:00:00+01:00,VND-2026-Q4-0004,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,BBU spare board,Spare,5,240,1200,1800000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8004,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0005,2026-09-01T10:00:00+01:00,VND-2026-Q4-0005,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Sector antenna unit,Antenna,2,280,560,840000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8005,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0006,2026-09-01T10:00:00+01:00,VND-2026-Q4-0006,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,DC power supply module,Power,5,180,900,1350000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8006,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0007,2026-09-01T10:00:00+01:00,VND-2026-Q4-0007,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,5G NR Massive MIMO radio unit,Radio unit,2,1800,3600,5400000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8007,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0008,2026-09-01T10:00:00+01:00,VND-2026-Q4-0008,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Fronthaul optical transceiver,Optical,4,135,540,810000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8008,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0009,2026-09-01T10:00:00+01:00,VND-2026-Q4-0009,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,5G NR Massive MIMO radio unit,Radio unit,6,1800,10800,16200000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8009,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
recVND0010,2026-09-01T10:00:00+01:00,VND-2026-Q4-0010,TCH-PO-2026-019,LAG-CSTL-PHASE2-Q4,Edge baseband processor BBU,Baseband,3,1350,4050,6075000,Tachyon Networks Nigeria Ltd,China,delivered to site,2026-09-15,DHL Express,DHL-NG-4421-8010,2026-10-19,2026-09-25,Per TCH-PO-2026-019 / PRJ-ABU-5G
