document_id,envelope_id,name,document_type,page_count,order
doc_001,env_001,PO-TCH-2026-019.pdf,purchase_order,12,1
doc_002,env_002,NCC-Form-7B-5G-Spectrum-DRAFT.pdf,ncc_form_7b,18,2
doc_003,env_002,Form-7B-Exhibits-Coverage.pdf,exhibit,8,3
doc_004,env_002,Form-7B-Exhibits-Capacity.pdf,exhibit,6,4
doc_005,env_003,Equipment-Acceptance-Cert.pdf,acceptance_cert,4,5
doc_006,env_004,Q3-VND-2026-014-PO.pdf,purchase_order,10,6
doc_007,env_005,Office-Lease-Addendum-2026.pdf,lease,6,7
doc_008,env_006,Niger-QoS-Contractor-Agreement.pdf,agreement,14,8
doc_009,env_007,Nasarawa-Land-Lease-Batch-1.pdf,lease,22,9
doc_010,env_008,Nasarawa-Land-Lease-Batch-2.pdf,lease,20,10
doc_011,env_009,Nasarawa-Land-Lease-Batch-3.pdf,lease,18,11
doc_012,env_010,Tachyon-NDA.pdf,nda,8,12
doc_013,env_011,Tachyon-MSA-Addendum.pdf,agreement,16,13
doc_014,env_013,Insurance-Addendum-5G-Pilot.pdf,insurance,12,14
doc_015,env_014,Traditional-Leader-MoU-Template.pdf,mou_template,10,15
doc_016,env_015,Form-7B-Q3-Submission.pdf,ncc_form_7b,16,16
