courseId,id,text,state,creationTime,updateTime,creatorUserId,alternateLink
course_year_5_maitama,ann_year5_001,Welcome to Term Two. Reading list shared in materials.,PUBLISHED,2026-09-08T08:00:00Z,2026-09-08T08:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/a/ann_year5_001
course_year_5_maitama,ann_year5_002,Year 5 weekly homework update. New project guidelines posted in materials.,PUBLISHED,2026-09-29T09:15:00Z,2026-09-29T09:15:00Z,user_mrs_adebayo_year5,https://classroom.google.com/a/ann_year5_002
course_year_5_maitama,ann_year5_003,Reminder pickup Friday at 12:30 not 13:00 due to staff training.,PUBLISHED,2026-09-24T08:30:00Z,2026-09-24T08:30:00Z,user_mrs_adebayo_year5,https://classroom.google.com/a/ann_year5_003
course_year_2_maitama,ann_year2_001,Welcome to Term Two for Year 2.,PUBLISHED,2026-09-08T08:00:00Z,2026-09-08T08:00:00Z,user_mrs_olaitan_year2,https://classroom.google.com/a/ann_year2_001
course_year_2_maitama,ann_year2_002,Year 2 field trip in November will be to the Abuja Zoo. Notice to follow.,PUBLISHED,2026-09-22T09:00:00Z,2026-09-22T09:00:00Z,user_mrs_olaitan_year2,https://classroom.google.com/a/ann_year2_002
crs_year_5,ann_year5_2026_09_01,Year 5 weekly notice 1: review of multiplication tables and reading list refresh.,PUBLISHED,2026-09-02T07:00:00Z,2026-09-02T07:00:00Z,mrs_adebayo,https://classroom.example/u/0/c/crs_year_5/ann/ann_year5_2026_09_01
crs_year_2,ann_year2_2026_09_01,"Year 2 weekly notice 1: phonics worksheet, football practice schedule, lunch reminders.",PUBLISHED,2026-09-02T07:30:00Z,2026-09-02T07:30:00Z,mr_okonkwo,https://classroom.example/u/0/c/crs_year_2/ann/ann_year2_2026_09_01
course_year_5_maitama,ann_y5_aug_01,Year 5 August notice 1: ongoing term coverage for September prep.,PUBLISHED,2026-08-02T07:00:00Z,2026-08-02T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_01
course_year_5_maitama,ann_y5_aug_02,Year 5 August notice 2: ongoing term coverage for September prep.,PUBLISHED,2026-08-03T07:00:00Z,2026-08-03T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_02
course_year_5_maitama,ann_y5_aug_03,Year 5 August notice 3: ongoing term coverage for September prep.,PUBLISHED,2026-08-04T07:00:00Z,2026-08-04T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_03
course_year_5_maitama,ann_y5_aug_04,Year 5 August notice 4: ongoing term coverage for September prep.,PUBLISHED,2026-08-05T07:00:00Z,2026-08-05T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_04
course_year_5_maitama,ann_y5_aug_05,Year 5 August notice 5: ongoing term coverage for September prep.,PUBLISHED,2026-08-06T07:00:00Z,2026-08-06T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_05
course_year_5_maitama,ann_y5_aug_06,Year 5 August notice 6: ongoing term coverage for September prep.,PUBLISHED,2026-08-07T07:00:00Z,2026-08-07T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_06
course_year_5_maitama,ann_y5_aug_07,Year 5 August notice 7: ongoing term coverage for September prep.,PUBLISHED,2026-08-08T07:00:00Z,2026-08-08T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_07
course_year_5_maitama,ann_y5_aug_08,Year 5 August notice 8: ongoing term coverage for September prep.,PUBLISHED,2026-08-09T07:00:00Z,2026-08-09T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_08
course_year_5_maitama,ann_y5_aug_09,Year 5 August notice 9: ongoing term coverage for September prep.,PUBLISHED,2026-08-10T07:00:00Z,2026-08-10T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_09
course_year_5_maitama,ann_y5_aug_10,Year 5 August notice 10: ongoing term coverage for September prep.,PUBLISHED,2026-08-11T07:00:00Z,2026-08-11T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_10
course_year_5_maitama,ann_y5_aug_11,Year 5 August notice 11: ongoing term coverage for September prep.,PUBLISHED,2026-08-12T07:00:00Z,2026-08-12T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_11
course_year_5_maitama,ann_y5_aug_12,Year 5 August notice 12: ongoing term coverage for September prep.,PUBLISHED,2026-08-13T07:00:00Z,2026-08-13T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_12
course_year_5_maitama,ann_y5_aug_13,Year 5 August notice 13: ongoing term coverage for September prep.,PUBLISHED,2026-08-14T07:00:00Z,2026-08-14T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_13
course_year_5_maitama,ann_y5_aug_14,Year 5 August notice 14: ongoing term coverage for September prep.,PUBLISHED,2026-08-15T07:00:00Z,2026-08-15T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_14
course_year_5_maitama,ann_y5_aug_15,Year 5 August notice 15: ongoing term coverage for September prep.,PUBLISHED,2026-08-16T07:00:00Z,2026-08-16T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_15
course_year_5_maitama,ann_y5_aug_16,Year 5 August notice 16: ongoing term coverage for September prep.,PUBLISHED,2026-08-17T07:00:00Z,2026-08-17T07:00:00Z,user_mrs_adebayo_year5,https://classroom.google.com/u/0/c/course_year_5_maitama/ann/ann_y5_aug_16
