courseId,id,title,description,state,maxPoints,workType,topicId,creationTime,updateTime,dueDate_year,dueDate_month,dueDate_day,dueTime_hours,dueTime_minutes,alternateLink
course_year_5_maitama,cw_y5_001,Term Two reading reflection,Submit a one-page reflection on the term two reading,PUBLISHED,10,ASSIGNMENT,topic_y5_term_two,2026-09-15T10:00:00Z,2026-09-15T10:00:00Z,2026,10,15,17,0,https://classroom.google.com/cw/cw_y5_001
course_year_5_maitama,cw_y5_002,Field trip permission slip return,Return the signed permission slip for the Oct 7 field trip,PUBLISHED,0,ASSIGNMENT,topic_y5_general,2026-09-30T07:48:00Z,2026-09-30T07:48:00Z,2026,10,2,17,0,https://classroom.google.com/cw/cw_y5_002
crs_year_5,cw_y5_2026_09_01,Year 5 assignment 1,Year 5 weekly assignment 1 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_english,2026-09-02T07:00:00Z,2026-09-02T07:00:00Z,2026,9,8,15,30,https://classroom.example/u/0/c/crs_year_5/work/cw_y5_2026_09_01
crs_year_2,cw_y2_2026_09_01,Year 2 task 1,Year 2 short task 1 from Mr. Okonkwo.,PUBLISHED,10,ASSIGNMENT,topic_y2_maths,2026-09-02T07:30:00Z,2026-09-02T07:30:00Z,2026,9,6,15,0,https://classroom.example/u/0/c/crs_year_2/work/cw_y2_2026_09_01
course_year_5_maitama,cw_y5_aug_01,Year 5 August assignment 1,Year 5 August assignment 1 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-02T07:00:00Z,2026-08-02T07:00:00Z,2026,8,6,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_01
course_year_5_maitama,cw_y5_aug_02,Year 5 August assignment 2,Year 5 August assignment 2 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-03T07:00:00Z,2026-08-03T07:00:00Z,2026,8,7,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_02
course_year_5_maitama,cw_y5_aug_03,Year 5 August assignment 3,Year 5 August assignment 3 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-04T07:00:00Z,2026-08-04T07:00:00Z,2026,8,8,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_03
course_year_5_maitama,cw_y5_aug_04,Year 5 August assignment 4,Year 5 August assignment 4 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-05T07:00:00Z,2026-08-05T07:00:00Z,2026,8,9,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_04
course_year_5_maitama,cw_y5_aug_05,Year 5 August assignment 5,Year 5 August assignment 5 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-06T07:00:00Z,2026-08-06T07:00:00Z,2026,8,10,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_05
course_year_5_maitama,cw_y5_aug_06,Year 5 August assignment 6,Year 5 August assignment 6 from Mrs. Adebayo.,PUBLISHED,20,ASSIGNMENT,topic_y5_general,2026-08-07T07:00:00Z,2026-08-07T07:00:00Z,2026,8,11,15,30,https://classroom.google.com/u/0/c/course_year_5_maitama/work/cw_y5_aug_06
