media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
ig_med_001,91000,54600,4550,68,51,1516,606
ig_med_002,112000,67200,5600,102,76,1866,746
ig_med_003,97000,58200,4850,83,62,1616,646
ig_med_004,12000,7200,600,14,10,200,80
ig_med_005,10500,6300,525,12,9,175,70
ig_med_006,17000,10200,850,17,12,283,113
ig_med_007,14000,8400,700,14,11,233,93
ig_med_008,11000,6600,550,12,9,183,73
ig_med_009,9000,5400,450,10,8,150,60
ig_med_010,21000,12600,1050,23,17,350,140
ig_med_011,27000,16200,1350,36,27,450,180
ig_med_012,30500,18300,1525,30,23,508,203
ig_med_013,24500,14700,1225,27,20,408,163
ig_med_014,19000,11400,950,23,17,316,126
ig_med_015,15500,9300,775,18,14,258,103
ig_med_016,13000,7800,650,16,12,216,86
ig_med_017,11000,6600,550,14,11,183,73
ig_med_018,12000,7200,600,15,11,200,80
ig_med_019,9000,5400,450,12,9,150,60
ig_med_020,21000,12600,1050,23,17,350,140
ig_med_021,19000,11400,950,20,15,316,126
ig_med_022,16500,9900,825,18,13,275,110
ig_med_023,2400,1440,120,3,2,40,16
ig_med_024,1700,1020,85,2,1,28,11
ig_med_025,3600,2160,180,4,3,60,24
ig_med_026,3100,1860,155,3,2,51,20
ig_med_027,1100,660,55,1,1,18,7
ig_med_028,1400,840,70,2,1,23,9
ig_med_029,390,234,19,2,1,6,2
ig_med_030,480,288,24,3,2,8,3
ig_med_031,2060,1236,103,6,4,34,13
ig_med_032,1900,1140,95,4,3,31,12
ig_med_033,1100,660,55,3,2,18,7
ig_med_034,900,540,45,2,1,15,6
ig_med_035,3060,1836,153,8,6,51,20
ig_med_036,2400,1440,120,6,4,40,16
ig_med_037,1600,960,80,3,2,26,10
ig_med_038,1400,840,70,3,2,23,9
ig_med_039,900,540,45,2,1,15,6
ig_med_040,1100,660,55,2,1,18,7
