entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
8001,2026-09-01,breakfast,9,"Pap (ogi, plain)",Home kitchen,240g,g,1,96,2.2,0.8,0,18,20,0.8,3.4,2.2
8002,2026-09-01,breakfast,10,"Egg (boiled, large)",Sahad open market,50g,g,1,78,6.3,5.3,186,62,0.6,0,0.6,6.3
8003,2026-09-01,lunch,1,Jollof,Home kitchen,180g,g,1,285,8.1,1.4,0,340,52,1.8,3.2,6.8
8004,2026-09-01,dinner,17,Vegetable salad (mixed),Home kitchen,200g,g,1,62,2.3,1.4,0,130,11,4.2,5.4,2.3
8005,2026-09-02,breakfast,9,"Pap (ogi, plain)",Home kitchen,240g,g,1,96,2.2,0.8,0,18,20,0.8,3.4,2.2
8006,2026-09-02,breakfast,10,"Egg (boiled, large)",Sahad open market,50g,g,1,78,6.3,5.3,186,62,0.6,0,0.6,6.3
8007,2026-09-02,lunch,2,Egusi,Home kitchen,180g,g,1,320,18.4,22.3,55,480,12,4.1,1.4,18.2
8008,2026-09-02,dinner,17,Vegetable salad (mixed),Home kitchen,200g,g,1,62,2.3,1.4,0,130,11,4.2,5.4,2.3
8009,2026-09-03,breakfast,9,"Pap (ogi, plain)",Home kitchen,240g,g,1,96,2.2,0.8,0,18,20,0.8,3.4,2.2
8010,2026-09-03,breakfast,10,"Egg (boiled, large)",Sahad open market,50g,g,1,78,6.3,5.3,186,62,0.6,0,0.6,6.3
8011,2026-09-03,lunch,1,Jollof,Home kitchen,180g,g,1,285,8.1,1.4,0,340,52,1.8,3.2,6.8
8012,2026-09-03,dinner,17,Vegetable salad (mixed),Home kitchen,200g,g,1,62,2.3,1.4,0,130,11,4.2,5.4,2.3
8013,2026-09-04,breakfast,9,"Pap (ogi, plain)",Home kitchen,240g,g,1,96,2.2,0.8,0,18,20,0.8,3.4,2.2
8014,2026-09-04,breakfast,10,"Egg (boiled, large)",Sahad open market,50g,g,1,78,6.3,5.3,186,62,0.6,0,0.6,6.3
8015,2026-09-04,lunch,2,Egusi,Home kitchen,180g,g,1,320,18.4,22.3,55,480,12,4.1,1.4,18.2
8016,2026-09-04,dinner,17,Vegetable salad (mixed),Home kitchen,200g,g,1,62,2.3,1.4,0,130,11,4.2,5.4,2.3
8017,2026-09-05,breakfast,9,"Pap (ogi, plain)",Home kitchen,240g,g,1,96,2.2,0.8,0,18,20,0.8,3.4,2.2
8018,2026-09-05,breakfast,10,"Egg (boiled, large)",Sahad open market,50g,g,1,78,6.3,5.3,186,62,0.6,0,0.6,6.3
8019,2026-09-05,lunch,1,Jollof,Home kitchen,180g,g,1,285,8.1,1.4,0,340,52,1.8,3.2,6.8
8020,2026-09-05,dinner,17,Vegetable salad (mixed),Home kitchen,200g,g,1,62,2.3,1.4,0,130,11,4.2,5.4,2.3
8021,2026-09-06,breakfast,9,"Pap (ogi, plain)",Home kitchen,240g,g,1,96,2.2,0.8,0,18,20,0.8,3.4,2.2
