exercise_id,date,exercise_type_id,exercise_name,duration_minutes,calories_burned,notes
5001,2026-09-01,1,Brisk walking,35,175,
5002,2026-09-03,1,Brisk walking,45,225,
5003,2026-09-05,1,Brisk walking,40,200,
5004,2026-09-06,3,Hiking moderate,115,805,
5005,2026-09-07,4,Yoga hatha home,45,135,
5006,2026-09-08,1,Brisk walking,35,175,
5007,2026-09-10,1,Brisk walking,40,200,
5008,2026-09-12,1,Brisk walking,38,190,
5009,2026-09-13,3,Hiking moderate,120,840,
5010,2026-09-14,4,Yoga hatha home,45,135,
5011,2026-09-15,1,Brisk walking,42,210,
5012,2026-09-17,1,Brisk walking,47,235,
5013,2026-09-19,1,Brisk walking,42,210,
5014,2026-09-20,3,Hiking moderate,125,875,
5015,2026-09-21,1,Brisk walking,33,165,
5016,2026-09-22,4,Yoga hatha home,45,135,
5017,2026-09-23,1,Brisk walking,36,180,
5018,2026-09-24,1,Brisk walking,40,200,
5019,2026-09-26,1,Brisk walking,35,175,
5020,2026-09-27,3,Hiking moderate,110,770,
5021,2026-09-28,1,Brisk walking,45,225,
5022,2026-09-29,1,Brisk walking,42,210,
