food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1,Jollof rice (homemade),Home kitchen,150g,g,285,8.1,1.4,0,340,52,1.8,3.2,6.8,280,false
2,Egusi soup with spinach,Home kitchen,200g,g,320,18.4,22.3,55,480,12,4.1,1.4,18.2,410,false
3,Pounded yam serving,Home kitchen,180g,g,235,2.1,0.4,0,18,56,4.2,1.1,2.4,460,false
4,Moin moin (steamed),Home recipe,120g,g,210,11.5,8.2,65,290,21,5.6,3.4,12.1,380,false
5,Plantain (boiled),Open market,100g,g,122,1.3,0.4,0,4,32,2.3,15.0,1.4,487,false
6,"Plantain (fried, dodo)",Home kitchen,100g,g,215,1.5,9.8,0,170,31,2.2,14.5,1.5,480,false
7,Suya beef (lean),Sahad open grill,100g,g,195,28.4,7.8,75,420,3,0.5,0.4,28.5,320,false
8,Akara (bean cake),Wuse market,60g,g,135,6.4,7.1,0,220,11,3.2,1.8,6.4,240,false
9,"Pap (ogi, plain)",Home kitchen,240g,g,96,2.2,0.8,0,18,20,0.8,3.4,2.1,60,false
10,"Egg (boiled, large)",Sahad open market,50g,g,78,6.3,5.3,186,62,0.6,0,0.6,6.3,63,false
11,Yogurt plain low-fat,Sahad Stores,170g,g,100,9.0,2.5,10,105,12,0,12.0,9.0,250,true
12,Almonds raw,Sahad Stores,28g,g,164,6.0,14.2,0,0,6,3.5,1.2,6.0,200,true
13,Banana medium,Wuse market,118g,g,105,1.3,0.4,0,1,27,3.1,14.4,1.3,422,true
14,Apple medium,Sahad Stores,182g,g,95,0.5,0.3,0,2,25,4.4,19.0,0.5,195,true
15,Coffee with cream tablespoon,Home espresso,240ml,ml,55,0.7,2.8,12,8,1,0,0.5,0.5,130,false
16,Tea black with milk,Home teapot,240ml,ml,38,1.3,1.4,5,36,4,0,3.8,1.3,75,false
17,Vegetable salad (mixed),Home kitchen,200g,g,62,2.3,1.4,0,130,11,4.2,5.4,2.3,380,false
18,Grilled fish tilapia,Wuse market,150g,g,195,28.2,7.5,78,95,0,0,0,28.2,485,true
19,Brown rice cooked,Sahad Stores,180g,g,216,5.0,1.8,0,10,45,3.6,0.6,5.0,154,true
20,Avocado half,Sahad Stores,100g,g,160,2.0,14.7,0,7,9,6.7,0.7,2.0,485,true
