water_id,date,cups,notes
4001,2026-09-01,9,
4002,2026-09-02,9,
4003,2026-09-03,9,
4004,2026-09-04,9,
4005,2026-09-05,9,
4006,2026-09-06,9,
4007,2026-09-07,9,
4008,2026-09-08,9,
4009,2026-09-09,9,
4010,2026-09-10,9,
4011,2026-09-11,9,
4012,2026-09-12,9,
4013,2026-09-13,9,
4014,2026-09-14,9,
4015,2026-09-15,9,
4016,2026-09-16,9,
4017,2026-09-17,9,
4018,2026-09-18,9,
4019,2026-09-19,9,
4020,2026-09-20,9,
4021,2026-09-21,9,
4022,2026-09-22,9,
4023,2026-09-23,9,
4024,2026-09-24,9,
4025,2026-09-25,9,
4026,2026-09-26,9,
4027,2026-09-27,9,
4028,2026-09-28,9,
4029,2026-09-29,9,
