weight_id,date,weight_lbs,notes
3001,2026-09-01,137.8,
3002,2026-09-02,137.6,
3003,2026-09-03,137.5,
3004,2026-09-04,137.4,
3005,2026-09-05,137.5,
3006,2026-09-06,137.3,
3007,2026-09-07,137.4,
3008,2026-09-08,137.2,
3009,2026-09-09,137.1,
3010,2026-09-10,137.0,
3011,2026-09-11,136.9,
3012,2026-09-12,137.0,
3013,2026-09-13,137.1,
3014,2026-09-14,136.8,
3015,2026-09-15,136.7,
3016,2026-09-16,136.8,
3017,2026-09-17,136.6,
3018,2026-09-18,136.7,
3019,2026-09-19,136.5,
3020,2026-09-20,136.4,
3021,2026-09-21,136.5,
3022,2026-09-22,136.3,
3023,2026-09-23,136.2,
3024,2026-09-24,136.4,
3025,2026-09-25,136.3,
3026,2026-09-26,136.1,
3027,2026-09-27,136.2,
3028,2026-09-28,136.0,
3029,2026-09-29,135.9,
3030,2026-09-30,136.0,
