pin_id,date,impressions,saves,pin_clicks,outbound_clicks
pin_study_001,2026-09-20,2400,18,0,4
pin_study_002,2026-09-20,2100,14,0,3
pin_study_003,2026-09-20,1800,11,0,2
pin_study_004,2026-09-20,3200,22,0,6
pin_study_005,2026-09-20,2800,19,0,5
pin_study_006,2026-09-20,1600,10,0,2
pin_study_007,2026-09-20,2100,16,0,3
pin_study_008,2026-09-20,1900,13,0,3
pin_study_009,2026-09-20,3500,26,0,7
pin_study_010,2026-09-20,1700,11,0,2
pin_study_011,2026-09-20,2200,15,0,3
pin_study_012,2026-09-20,1500,9,0,2
pin_garden_001,2026-09-20,4200,31,0,8
pin_garden_002,2026-09-20,2300,16,0,4
pin_garden_003,2026-09-20,2800,21,0,5
pin_garden_004,2026-09-20,1900,14,0,3
pin_garden_005,2026-09-20,1700,12,0,2
pin_garden_006,2026-09-20,3100,24,0,6
pin_garden_007,2026-09-20,2400,17,0,5
pin_garden_008,2026-09-20,1800,12,0,3
pin_garden_009,2026-09-20,1500,9,0,2
pin_garden_010,2026-09-20,1300,7,0,1
pin_garden_011,2026-09-20,1900,13,0,3
pin_garden_012,2026-09-20,2200,16,0,4
pin_anniv_001,2026-09-20,2100,15,0,3
pin_anniv_002,2026-09-20,1900,13,0,3
pin_anniv_003,2026-09-20,1700,11,0,2
pin_anniv_004,2026-09-20,1500,9,0,2
pin_xmas_001,2026-09-20,2400,17,0,4
pin_xmas_002,2026-09-20,2000,14,0,3
pin_xmas_003,2026-09-20,2300,16,0,4
pin_xmas_004,2026-09-20,1800,12,0,3
pin_recipe_001,2026-09-20,2800,19,0,5
pin_recipe_002,2026-09-20,2400,17,0,4
pin_recipe_003,2026-09-20,3300,24,0,6
pin_recipe_004,2026-09-20,2100,15,0,3
pin_recipe_005,2026-09-20,2600,18,0,4
pin_recipe_006,2026-09-20,2900,20,0,5
pin_book_001,2026-09-20,1900,13,0,3
pin_book_002,2026-09-20,2200,16,0,4
pin_aso_001,2026-09-20,900,6,0,1
pin_aso_002,2026-09-20,1100,7,0,1
pin_skin_001,2026-09-20,2100,15,0,3
pin_skin_002,2026-09-20,1700,11,0,2
pin_work_001,2026-09-20,2400,17,0,4
pin_work_002,2026-09-20,2900,21,0,5
pin_bday_001,2026-09-20,1800,12,0,3
pin_bday_002,2026-09-20,1600,10,0,2
