id,name,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,start_date,kudos_count,segment_id
7000001,Maitama evening walk,Walk,3870,2820,2820,18,4.94,2026-09-01T18:30:00Z,25,
7000002,Wuse loop morning,Walk,4520,3120,3120,22,5.21,2026-09-03T18:30:00Z,31,
7000003,Asokoro afternoon walk,Walk,3110,2400,2400,12,4.67,2026-09-05T18:30:00Z,19,
7000004,Garki evening light,Walk,2900,2280,2280,8,4.58,2026-09-07T18:30:00Z,16,
7000005,Maitama late walk,Walk,3640,2640,2640,17,4.96,2026-09-10T18:30:00Z,22,
7000006,Park crescent loop,Walk,3280,2520,2520,12,4.69,2026-09-12T18:30:00Z,21,
7000007,Maitama early circuit,Walk,4140,2940,2940,24,5.07,2026-09-14T18:30:00Z,28,
7000008,Wuse zone five loop,Walk,4730,3300,3300,29,5.16,2026-09-17T18:30:00Z,33,
7000009,Maitama dusk pace,Walk,3550,2700,2700,16,4.73,2026-09-19T18:30:00Z,23,
7000010,Three Arms zone walk,Walk,3920,2880,2880,20,4.9,2026-09-21T18:30:00Z,26,
7000011,Maitama family circuit,Walk,2740,2160,2160,9,4.57,2026-09-23T18:30:00Z,17,
7000012,Asokoro evening glide,Walk,3380,2580,2580,14,4.71,2026-09-24T18:30:00Z,22,
7000013,Maitama family loop,Walk,3110,2400,2400,11,4.67,2026-09-26T18:30:00Z,20,
7000014,Garki dusk pace,Walk,4060,2880,2880,25,5.07,2026-09-28T18:30:00Z,27,
7000015,Maitama final week,Walk,3820,2820,2820,19,4.88,2026-09-29T18:30:00Z,24,
7000016,Aso Rock Saturday hike,Hike,8420,6840,9000,215,4.43,2026-09-06T07:00:00Z,87,seg_aso_main_trail
7000017,Aso Rock Saturday hike,Hike,8650,6900,8940,222,4.51,2026-09-13T07:00:00Z,92,seg_aso_main_trail
7000018,Aso Rock with friends,Hike,9120,7200,9480,240,4.56,2026-09-20T07:00:00Z,105,seg_aso_main_trail
7000019,Aso Rock easy pace,Hike,7980,6420,8520,198,4.47,2026-09-27T07:00:00Z,76,seg_aso_main_trail
7000020,Saturday yoga home,Yoga,0,2700,2700,0,0.0,2026-09-08T07:30:00Z,12,
7000021,Saturday yoga home,Yoga,0,2700,2700,0,0.0,2026-09-15T07:30:00Z,14,
7000022,Saturday yoga home,Yoga,0,2700,2700,0,0.0,2026-09-22T07:30:00Z,11,
7000023,Saturday yoga home,Yoga,0,2700,2700,0,0.0,2026-09-29T07:30:00Z,13,
7000024,Aug morning walk,Walk,3520,2640,2640,14,4.74,2026-08-02T18:30:00Z,21,
7000025,Aug morning walk,Walk,3420,2580,2580,12,4.77,2026-08-04T18:30:00Z,19,
7000026,Aug evening walk,Walk,3850,2820,2820,18,4.91,2026-08-09T18:30:00Z,24,
7000027,Aug evening walk,Walk,3990,2880,2880,21,4.97,2026-08-11T18:30:00Z,25,
7000028,Aug aso quick hike,Hike,7650,6240,8220,188,4.41,2026-08-16T07:00:00Z,74,seg_aso_main_trail
7000029,Aug evening walk,Walk,3300,2520,2520,10,4.71,2026-08-18T18:30:00Z,19,
7000030,Aug evening walk,Walk,3540,2640,2640,14,4.83,2026-08-25T18:30:00Z,21,
7000031,Aug yoga,Yoga,0,2700,2700,0,0.0,2026-08-30T07:30:00Z,12,
7000032,Jul evening walk,Walk,3470,2580,2580,12,4.84,2026-07-03T18:30:00Z,20,
7000033,Jul aso hike,Hike,7720,6420,8460,192,4.39,2026-07-06T07:00:00Z,71,seg_aso_main_trail
7000034,Jul morning walk,Walk,3220,2460,2460,9,4.71,2026-07-10T18:30:00Z,18,
7000035,Jul aso hike,Hike,7980,6540,8580,205,4.46,2026-07-13T07:00:00Z,78,seg_aso_main_trail
7000036,Jul evening walk,Walk,3640,2700,2700,16,4.85,2026-07-17T18:30:00Z,22,
7000037,Jul aso hike,Hike,8120,6720,8820,210,4.43,2026-07-20T07:00:00Z,82,seg_aso_main_trail
7000038,Jul yoga,Yoga,0,2700,2700,0,0.0,2026-07-24T07:30:00Z,11,
