playlist_item_id,playlistId,videoId,channelId,title,position,publishedAt
pl_3gpp_review_01,pl_3gpp_review,v_3gpp_01,ch_3gpp_lab,Position 1,0,2026-08-22T07:00:00Z
pl_3gpp_review_02,pl_3gpp_review,v_3gpp_02,ch_3gpp_lab,Position 2,1,2026-08-22T07:00:00Z
pl_3gpp_review_03,pl_3gpp_review,v_3gpp_03,ch_3gpp_lab,Position 3,2,2026-08-22T07:00:00Z
pl_3gpp_review_04,pl_3gpp_review,v_3gpp_04,ch_3gpp_lab,Position 4,3,2026-08-22T07:00:00Z
pl_3gpp_review_05,pl_3gpp_review,v_3gpp_05,ch_3gpp_lab,Position 5,4,2026-08-22T07:00:00Z
pl_3gpp_review_06,pl_3gpp_review,v_3gpp_06,ch_3gpp_lab,Position 6,5,2026-08-22T07:00:00Z
pl_3gpp_review_07,pl_3gpp_review,v_3gpp_07,ch_3gpp_lab,Position 7,6,2026-08-22T07:00:00Z
pl_3gpp_review_08,pl_3gpp_review,v_3gpp_08,ch_3gpp_lab,Position 8,7,2026-08-22T07:00:00Z
pl_3gpp_review_09,pl_3gpp_review,v_3gpp_09,ch_3gpp_lab,Position 9,8,2026-08-22T07:00:00Z
pl_3gpp_review_10,pl_3gpp_review,v_3gpp_10,ch_3gpp_lab,Position 10,9,2026-08-22T07:00:00Z
pl_vendor_reels_01,pl_vendor_reels,v_vrad_01,ch_vendor_radios,Position 1,0,2026-08-22T07:00:00Z
pl_vendor_reels_02,pl_vendor_reels,v_vrad_02,ch_vendor_radios,Position 2,1,2026-08-22T07:00:00Z
pl_vendor_reels_03,pl_vendor_reels,v_vrad_03,ch_vendor_radios,Position 3,2,2026-08-22T07:00:00Z
pl_vendor_reels_04,pl_vendor_reels,v_vrad_04,ch_vendor_radios,Position 4,3,2026-08-22T07:00:00Z
pl_vendor_reels_05,pl_vendor_reels,v_vrad_05,ch_vendor_radios,Position 5,4,2026-08-22T07:00:00Z
pl_vendor_reels_06,pl_vendor_reels,v_vrad_06,ch_vendor_radios,Position 6,5,2026-08-22T07:00:00Z
pl_vendor_reels_07,pl_vendor_reels,v_vrad_07,ch_vendor_radios,Position 7,6,2026-08-22T07:00:00Z
pl_vendor_reels_08,pl_vendor_reels,v_vrad_08,ch_vendor_radios,Position 8,7,2026-08-22T07:00:00Z
pl_kids_safe_01,pl_kids_safe,v_kid_01,ch_kids_curated,Position 1,0,2026-08-22T07:00:00Z
pl_kids_safe_02,pl_kids_safe,v_kid_02,ch_kids_curated,Position 2,1,2026-08-22T07:00:00Z
pl_kids_safe_03,pl_kids_safe,v_kid_03,ch_kids_curated,Position 3,2,2026-08-22T07:00:00Z
pl_kids_safe_04,pl_kids_safe,v_kid_04,ch_kids_curated,Position 4,3,2026-08-22T07:00:00Z
pl_kids_safe_05,pl_kids_safe,v_kid_05,ch_kids_curated,Position 5,4,2026-08-22T07:00:00Z
pl_kids_safe_06,pl_kids_safe,v_kid_06,ch_kids_curated,Position 6,5,2026-08-22T07:00:00Z
pl_kids_safe_07,pl_kids_safe,v_kid_07,ch_kids_curated,Position 7,6,2026-08-22T07:00:00Z
pl_kids_safe_08,pl_kids_safe,v_kid_08,ch_kids_curated,Position 8,7,2026-08-22T07:00:00Z
pl_kids_safe_09,pl_kids_safe,v_kid_09,ch_kids_curated,Position 9,8,2026-08-22T07:00:00Z
pl_kids_safe_10,pl_kids_safe,v_kid_10,ch_kids_curated,Position 10,9,2026-08-22T07:00:00Z
pl_kids_safe_11,pl_kids_safe,v_kid_11,ch_kids_curated,Position 11,10,2026-08-22T07:00:00Z
pl_kids_safe_12,pl_kids_safe,v_kid_12,ch_kids_curated,Position 12,11,2026-08-22T07:00:00Z
pl_kids_science_01,pl_kids_science,v_sci_01,ch_science_kids,Position 1,0,2026-08-22T07:00:00Z
pl_kids_science_02,pl_kids_science,v_sci_02,ch_science_kids,Position 2,1,2026-08-22T07:00:00Z
pl_kids_science_03,pl_kids_science,v_sci_03,ch_science_kids,Position 3,2,2026-08-22T07:00:00Z
pl_kids_science_04,pl_kids_science,v_sci_04,ch_science_kids,Position 4,3,2026-08-22T07:00:00Z
pl_news_weekly_01,pl_news_weekly,v_news_01,ch_telco_news,Position 1,0,2026-08-22T07:00:00Z
pl_news_weekly_02,pl_news_weekly,v_news_02,ch_telco_news,Position 2,1,2026-08-22T07:00:00Z
pl_news_weekly_03,pl_news_weekly,v_news_03,ch_telco_news,Position 3,2,2026-08-22T07:00:00Z
pl_news_weekly_04,pl_news_weekly,v_news_04,ch_telco_news,Position 4,3,2026-08-22T07:00:00Z
pl_news_weekly_05,pl_news_weekly,v_news_05,ch_telco_news,Position 5,4,2026-08-22T07:00:00Z
pl_news_weekly_06,pl_news_weekly,v_news_06,ch_telco_news,Position 6,5,2026-08-22T07:00:00Z
pl_news_weekly_07,pl_news_weekly,v_news_07,ch_telco_news,Position 7,6,2026-08-22T07:00:00Z
pl_news_weekly_08,pl_news_weekly,v_news_08,ch_telco_news,Position 8,7,2026-08-22T07:00:00Z
pl_garden_plans_01,pl_garden_plans,v_gard_01,ch_garden_hour,Position 1,0,2026-08-22T07:00:00Z
pl_garden_plans_02,pl_garden_plans,v_gard_02,ch_garden_hour,Position 2,1,2026-08-22T07:00:00Z
pl_garden_plans_03,pl_garden_plans,v_gard_03,ch_garden_hour,Position 3,2,2026-08-22T07:00:00Z
pl_garden_plans_04,pl_garden_plans,v_gard_04,ch_garden_hour,Position 4,3,2026-08-22T07:00:00Z
pl_garden_plans_05,pl_garden_plans,v_gard_05,ch_garden_hour,Position 5,4,2026-08-22T07:00:00Z
