video_id,title,description,publishedAt,channelId,categoryId,tags,duration,dimension,definition,privacyStatus,publishAt,embeddable,viewCount,likeCount,dislikeCount,commentCount,thumbnailUrl,liveBroadcastContent,defaultLanguage,defaultAudioLanguage
v_3gpp_01,3GPP TS 38.213 PUCCH primer,3GPP TS 38.213 PUCCH primer - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT24M18S,2d,hd,public,,true,18500,920,0,115,https://img.youtube.example/v_3gpp_01.jpg,none,en,en
v_3gpp_02,3GPP TS 38.211 channel mapping walk-through,3GPP TS 38.211 channel mapping walk-through - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT31M02S,2d,hd,public,,true,14200,712,0,89,https://img.youtube.example/v_3gpp_02.jpg,none,en,en
v_3gpp_03,Small cell PRACH configuration patterns,Small cell PRACH configuration patterns - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT19M44S,2d,hd,public,,true,12100,605,0,75,https://img.youtube.example/v_3gpp_03.jpg,none,en,en
v_3gpp_04,Sub-band masking in dense urban densification,Sub-band masking in dense urban densification - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT22M11S,2d,hd,public,,true,9800,491,0,61,https://img.youtube.example/v_3gpp_04.jpg,none,en,en
v_3gpp_05,Uplink power control closed loop tuning,Uplink power control closed loop tuning - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT28M37S,2d,hd,public,,true,11400,578,0,72,https://img.youtube.example/v_3gpp_05.jpg,none,en,en
v_3gpp_06,Carrier aggregation pitfalls in n78,Carrier aggregation pitfalls in n78 - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT26M03S,2d,hd,public,,true,8700,420,0,52,https://img.youtube.example/v_3gpp_06.jpg,none,en,en
v_3gpp_07,PUCCH format selection cheat sheet,PUCCH format selection cheat sheet - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT15M21S,2d,hd,public,,true,7600,380,0,47,https://img.youtube.example/v_3gpp_07.jpg,none,en,en
v_3gpp_08,Beam management TS 38.213 section 9,Beam management TS 38.213 section 9 - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT34M52S,2d,hd,public,,true,9100,455,0,56,https://img.youtube.example/v_3gpp_08.jpg,none,en,en
v_3gpp_09,PRACH preamble format A versus B,PRACH preamble format A versus B - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT20M11S,2d,hd,public,,true,8400,412,0,51,https://img.youtube.example/v_3gpp_09.jpg,none,en,en
v_3gpp_10,TPC step size accumulation mode primer,TPC step size accumulation mode primer - sample video.,2025-08-15T10:00:00Z,ch_3gpp_lab,27,"engineering,reference",PT16M44S,2d,hd,public,,true,6900,340,0,42,https://img.youtube.example/v_3gpp_10.jpg,none,en,en
v_vrad_01,Operator panel on rural densification,Operator panel on rural densification - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT58M22S,2d,hd,public,,true,7400,320,0,40,https://img.youtube.example/v_vrad_01.jpg,none,en,en
v_vrad_02,RF planning in dense urban small cell deployment,RF planning in dense urban small cell deployment - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT45M11S,2d,hd,public,,true,6100,270,0,33,https://img.youtube.example/v_vrad_02.jpg,none,en,en
v_vrad_03,Spectrum coordination case study West Africa,Spectrum coordination case study West Africa - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT41M03S,2d,hd,public,,true,5800,245,0,30,https://img.youtube.example/v_vrad_03.jpg,none,en,en
v_vrad_04,Backhaul radio acceptance testing workflows,Backhaul radio acceptance testing workflows - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT37M29S,2d,hd,public,,true,4900,198,0,24,https://img.youtube.example/v_vrad_04.jpg,none,en,en
v_vrad_05,Field commissioning runbook patterns,Field commissioning runbook patterns - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT39M57S,2d,hd,public,,true,5500,219,0,27,https://img.youtube.example/v_vrad_05.jpg,none,en,en
v_vrad_06,Vendor RAN open APIs survey,Vendor RAN open APIs survey - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT52M14S,2d,hd,public,,true,6300,282,0,35,https://img.youtube.example/v_vrad_06.jpg,none,en,en
v_vrad_07,Cold start firmware diagnostics walk-through,Cold start firmware diagnostics walk-through - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT44M22S,2d,hd,public,,true,5100,210,0,26,https://img.youtube.example/v_vrad_07.jpg,none,en,en
v_vrad_08,Antenna alignment drift detection,Antenna alignment drift detection - sample video.,2025-08-15T10:00:00Z,ch_vendor_radios,28,"engineering,reference",PT38M11S,2d,hd,public,,true,4600,188,0,23,https://img.youtube.example/v_vrad_08.jpg,none,en,en
v_kid_01,How phones talk to towers for kids,How phones talk to towers for kids - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT08M22S,2d,hd,public,,true,24500,1230,0,153,https://img.youtube.example/v_kid_01.jpg,none,en,en
v_kid_02,What is a radio wave for primary schoolers,What is a radio wave for primary schoolers - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT06M44S,2d,hd,public,,true,18900,950,0,118,https://img.youtube.example/v_kid_02.jpg,none,en,en
v_kid_03,Year 5 science fair tips,Year 5 science fair tips - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT10M12S,2d,hd,public,,true,15600,784,0,98,https://img.youtube.example/v_kid_03.jpg,none,en,en
v_kid_04,Year 2 reading list read alouds,Year 2 reading list read alouds - sample video.,2025-08-15T10:00:00Z,ch_kids_curated,27,"engineering,reference",PT12M02S,2d,hd,public,,true,13800,691,0,86,https://img.youtube.example/v_kid_04.jpg,none,en,en
