Lee Family: May 2026 Monthly Budget Tracker,,,,
Period: May 1 – May 31 2026 | Data current through: May 22 2026 | Budget owner: Danielle Lee,,,,
,,,,
Category,Monthly Budget,Spent (May 1-22),Remaining (May 22),Notes
FIXED & COMMITTED EXPENSES,,,,
Mortgage (principal + interest),$1850.00,$1850.00,$0.00,Auto-pay May 1 · Wells Fargo
Property Tax + Insurance (escrowed),$420.00,$420.00,$0.00,Escrowed with mortgage
Car Payment (Honda Odyssey),$410.00,$410.00,$0.00,Auto-pay May 5 · Wells Fargo Auto
Car Payment (Honda Civic, Keisha),$320.00,$320.00,$0.00,Auto-pay May 5 · Wells Fargo Auto
Health Insurance (family, our portion),$380.00,$380.00,$0.00,Payroll deduction, Stonebridge
Car Insurance (both vehicles),$230.00,$230.00,$0.00,Auto-pay May 1 · Progressive
Daycare (Bright Horizons, Isaiah),$680.00,$680.00,$0.00,Invoice paid May 1
Church Tithe (New Covenant Baptist),$300.00,$250.00,$50.00,May 4 + May 11; last Sunday pending
VARIABLE EXPENSES,,,,
Groceries - Food,$950.00,$311.47,$638.53,Costco bulk run May 3; Kroger May 9 and May 16
Misc / Household / Entertaining,$250.00,$103.73,$146.27,Cleaning supplies; hardware; paper goods
Dining Out (family),$120.00,$67.00,$53.00,Busy Bee May 10; pizza May 16
Gas (both cars),$200.00,$98.40,$101.60,Odyssey fill May 8; Civic fill May 14
Utilities (electric gas water internet),$340.00,$327.14,$12.86,Georgia Power + Atlanta Gas + Comcast
Kids Activities (baseball ballet misc),$180.00,$155.00,$25.00,Cougars uniform fee; Peachtree Dance May tuition
Subscriptions (Disney+ Netflix Spotify YouTube),$55.00,$55.00,$0.00,All auto-renewed May 1
Clothing (kids),$100.00,$43.29,$56.71,Old Navy; Carter's; summer clothes for Isaiah
TOTALS,,,,
Total (all tracked categories),$6215.00,$5501.03,$713.97,Through May 22 · 9 days remaining
,,,,
Note: Emergency savings / 529 / vacation fund tracked separately. Monthly take-home ~$9200. Remaining after tracked expenses: ~$2985.,,,,
