entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
1,2026-05-22,Breakfast,101,Black coffee,,12,oz,1,5,0.0,0.0,0,5,1,0,0,0.1
2,2026-05-22,Breakfast,102,Oatmeal cooked,,1.5,cup,1,230,4.5,0.8,0,10,41,5,1,8
3,2026-05-22,Breakfast,103,Banana,,1,medium,1,105,0.3,0.1,0,1,27,3.1,14.4,1.3
4,2026-05-22,Lunch,104,Grilled chicken breast (staff meal),,6,oz,1,280,6.0,1.5,85,390,0,0,0,52
5,2026-05-22,Lunch,105,Brown rice,,1,cup,1,215,1.8,0.2,0,10,45,3,0,5
6,2026-05-22,Lunch,106,Steamed broccoli,,1,cup,1,55,0.6,0.1,0,65,11,5,3,4
7,2026-05-22,Dinner,107,Atlantic salmon (staff meal),,5,oz,1,310,14.0,2.5,80,300,0,0,0,42
8,2026-05-22,Dinner,108,Mixed green salad with olive oil,,1,cup,1,90,7.0,1.0,0,160,5,2,2,2
9,2026-05-22,Snacks,109,Kirkland beef jerky,Kirkland Signature,1,oz,1,70,1.0,0.5,25,590,4,0,2,11
10,2026-05-22,Snacks,103,Tangerine,,1,medium,1,47,0.3,0.0,0,1,12,2,8,0.7
11,2026-05-23,Breakfast,101,Black coffee,,12,oz,1,5,0.0,0.0,0,5,1,0,0,0.1
12,2026-05-23,Breakfast,110,Scrambled eggs,,2,large,1,180,12.0,3.5,370,180,2,0,1,12
13,2026-05-23,Breakfast,111,Whole wheat toast with butter,,1,slice,1,120,4.5,2.0,10,200,18,2,2,3
14,2026-05-23,Snacks,112,Kirkland trail mix,Kirkland Signature,1,oz,1,140,8.0,1.5,0,85,13,2,5,4
15,2026-05-23,Lunch,113,Hot dog with bun (gas station stop),,1,each,1,310,18.0,6.0,35,820,25,1,5,12
16,2026-05-23,Dinner,104,Grilled chicken thigh (staff meal),,6,oz,1,310,16.0,4.5,120,380,0,0,0,40
17,2026-05-23,Dinner,105,Brown rice,,1,cup,1,215,1.8,0.2,0,10,45,3,0,5
18,2026-05-23,Dinner,106,Steamed vegetables mixed,,1,cup,1,60,0.5,0.1,0,150,12,4,5,3
19,2026-05-23,Snacks,103,Goldfish crackers,Pepperidge Farm,1,oz,1,140,5.0,1.0,0,190,19,1,2,3
20,2026-05-24,Breakfast,101,Black coffee,,12,oz,1,5,0.0,0.0,0,5,1,0,0,0.1
21,2026-05-24,Breakfast,110,Scrambled eggs,,2,large,1,180,12.0,3.5,370,180,2,0,1,12
22,2026-05-24,Breakfast,114,Buttermilk pancakes (Sunday ritual with Amara),,3,medium,1,390,9.0,3.0,65,680,65,2,14,9
23,2026-05-24,Breakfast,115,Maple syrup,,2,tbsp,1,104,0.0,0.0,0,4,27,0,24,0
24,2026-05-24,Lunch,116,Turkey sandwich (light lunch before dinner cook),,1,each,1,380,10.0,2.5,50,820,42,3,6,28
25,2026-05-24,Dinner,117,Baked chicken thighs (Sunday dinner),,8,oz,1,380,20.0,5.5,160,420,0,0,0,48
26,2026-05-24,Dinner,105,Brown rice,,1.5,cup,1,323,2.7,0.3,0,15,68,4.5,0,7.5
27,2026-05-24,Dinner,118,Collard greens (Gloria's recipe),,1,cup,1,50,1.5,0.3,0,380,8,4,1,4
28,2026-05-24,Dinner,119,Cornbread (1 square),,1,piece,1,210,8.0,2.5,18,320,28,1,5,4
29,2026-05-24,Snacks,101,Black coffee,,8,oz,1,3,0.0,0.0,0,3,1,0,0,0.1
30,2026-05-25,Breakfast,101,Black coffee,,12,oz,1,5,0.0,0.0,0,5,1,0,0,0.1
31,2026-05-25,Breakfast,103,Banana,,1,medium,1,105,0.3,0.1,0,1,27,3.1,14.4,1.3
32,2026-05-25,Snacks,103,Goldfish crackers,Pepperidge Farm,1,oz,1,140,5.0,1.0,0,190,19,1,2,3
33,2026-05-25,Dinner,120,"BBQ pork spare ribs (smoked, cookout)",,12,oz,1,850,52.0,20.0,230,640,6,0,4,55
34,2026-05-25,Dinner,121,Smoked mac and cheese (homemade),,1.5,cup,1,520,25.0,10.0,55,600,54,2,8,20
35,2026-05-25,Dinner,122,Bush's Best Baked Beans,Bush's,1,cup,1,235,1.5,0.5,0,550,45,8,16,12
