id,doorbot_id,device_id,kind,created_at,answered,favorite,recording_status,snapshot_url,duration_seconds,cv_properties
8001,500001,doorbell_front,motion,2026-05-19T21:30:14.000Z,false,false,ready,,8,person
8002,500001,doorbell_front,ding,2026-05-19T21:32:00.000Z,true,false,ready,,18,person
8003,500001,doorbell_front,motion,2026-05-20T14:52:38.000Z,false,false,ready,,6,person
8004,500001,doorbell_front,package_detected,2026-05-20T15:41:22.000Z,false,false,ready,,14,package
8005,500001,doorbell_front,motion,2026-05-21T09:14:05.000Z,false,false,ready,,7,person
8006,500001,doorbell_front,package_detected,2026-05-21T19:08:44.000Z,false,false,ready,,16,package
8007,500001,doorbell_front,motion,2026-05-22T13:22:19.000Z,false,false,ready,,9,person
8008,500001,doorbell_front,ding,2026-05-22T13:24:01.000Z,false,false,ready,,22,person
8009,500001,doorbell_front,motion,2026-05-22T19:18:44.000Z,false,false,ready,,11,person
8010,500001,doorbell_front,motion,2026-05-23T15:08:22.000Z,false,false,ready,,12,person
8011,500001,doorbell_front,motion,2026-05-23T18:18:09.000Z,false,false,ready,,10,person
8012,500001,doorbell_front,motion,2026-05-23T21:45:33.000Z,false,false,ready,,8,person
8013,500001,doorbell_front,motion,2026-05-24T13:52:10.000Z,false,false,ready,,14,vehicle
8014,500001,doorbell_front,motion,2026-05-24T17:10:28.000Z,false,false,ready,,9,person
