id,order_id,customer_id,amount,currency,status,source_type,location_id,receipt_number,created_at
PAY_WST01,ORD_WST01,CUST_W01,1480,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1001,2026-10-07T16:40:00Z
PAY_WST02,ORD_WST02,CUST_W02,640,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1002,2026-10-07T16:55:00Z
PAY_WST03,ORD_WST03,CUST_W03,1200,EUR,COMPLETED,CASH,LOC_BOONDAEL,RCP1003,2026-10-07T17:10:00Z
PAY_WST04,ORD_WST04,CUST_W04,2785,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1004,2026-10-08T09:30:00Z
PAY_WST05,ORD_WST05,CUST_W05,950,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1005,2026-10-08T09:45:00Z
PAY_WST06,ORD_WST06,CUST_W06,430,EUR,COMPLETED,CASH,LOC_BOONDAEL,RCP1006,2026-10-08T10:02:00Z
PAY_WST07,ORD_WST07,CUST_W07,1875,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1007,2026-10-08T10:20:00Z
PAY_WST08,ORD_WST08,CUST_W08,560,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1008,2026-10-08T10:35:00Z
PAY_WST09,ORD_WST09,CUST_W09,3320,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1009,2026-10-08T11:00:00Z
PAY_WST10,ORD_WST10,CUST_W10,720,EUR,COMPLETED,CASH,LOC_BOONDAEL,RCP1010,2026-10-08T11:15:00Z
PAY_WST11,ORD_WST11,CUST_W11,1605,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1011,2026-10-08T11:40:00Z
PAY_WST12,ORD_WST12,CUST_W12,480,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1012,2026-10-08T12:05:00Z
PAY_WST13,ORD_WST13,CUST_W13,2240,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1013,2026-10-08T12:30:00Z
PAY_WST14,ORD_WST14,CUST_W14,890,EUR,COMPLETED,CASH,LOC_BOONDAEL,RCP1014,2026-10-08T12:50:00Z
PAY_WST15,ORD_WST15,CUST_W15,1340,EUR,COMPLETED,CARD,LOC_BOONDAEL,RCP1015,2026-10-08T13:10:00Z
