service,unit,price_usd,notes
Dress shirt (laundered),per item,4.25,boxed or on hanger
Pants / slacks,per item,7.50,
Suit (2-piece),per set,16.95,
Blazer / sport coat,per item,9.75,
Dress (plain),per item,12.50,pleats extra
Dress (formal/gown),per item,28.00,by inspection
Comforter (queen),per item,32.00,
Comforter (king),per item,38.00,
Tablecloth (large),per item,14.00,church linens billed monthly
Alterations - hem,per garment,12.00,
Alterations - zipper,per garment,18.00,
Wedding gown preservation,per item,189.00,includes box
